标题1,关键词,店铺,状态
索爱 M6,"

￥499.00

 ","
索爱数码旗舰店
",该款月成交 1464笔
DOOV/朵唯 V18,"

￥169.00

 ","
朵唯深圳专卖店
",该款月成交 1044笔
DOOV/朵唯 T9,"

￥118.00

 ","
炜广天成数码专营店
",该款月成交 2674笔
创星（手机） ATMAN R11,"

￥98.00

 ","
酷泽数码专营店
",该款月成交 1141笔
皓轩 H666,"

￥98.00

 ","
皓轩手机旗舰店
",该款月成交 317笔
DOOV/朵唯 M9,"

￥489.00

 ","
鼎峰数码专营店
",该款月成交 995笔
DOOV/朵唯 R19,"

￥289.00

 ","
和瀛数码专营店
",该款月成交 1601笔
纽曼 Q520,"

￥78.00

 ","
东旭日泰数码专营店
",该款月成交 1694笔
多亲 多亲ai手机 1S+,"

￥399.00

 ","
多亲旗舰店
",该款月成交 518笔
纽曼 R19,"

￥258.00

 ","
纽曼手机旗舰店
",该款月成交 1977笔
Coolpad/酷派 5267,"

￥229.00

 ","
倍多粉数码专营店
",该款月成交 359笔
21KE C2新,"

￥128.00

 ","
21克旗舰店
",该款月成交 300笔
DOOV/朵唯 N1,"

￥68.00

 ","
徐州联强数码专营店
",该款月成交 2222笔
Philips/飞利浦 E259S,"

￥279.00

 ","
潍坊联通官方旗舰店
",该款月成交 782笔
YEPEN/誉品 YP958,"

￥178.00

 ","
伟业恒通数码专营店
",该款月成交 239笔
DOOV/朵唯 V31,"

￥199.00

 ","
朵唯官方旗舰店
",该款月成交 169笔
DOOV/朵唯 V33,"

￥359.00

 ","
朵唯官方旗舰店
",该款月成交 451笔
K-Touch/天语 LD1,"

￥399.00

 ","
博科雅创数码专营店
",该款月成交 422笔
纽曼 V1,"

￥83.00

 ","
酷泽数码专营店
",该款月成交 171笔
守护宝 上海中兴F6S,"

￥378.00

 ","
旭辰数码专营店
",该款月成交 1186笔
纽曼 P20S,"

￥499.00

 ","
慕尚年华数码专营店
",该款月成交 347笔
Nokia/诺基亚 新130,"

￥149.00

 ","
京联通达数码旗舰店
",该款月成交 574笔
关爱心 R17A,"

￥138.00

 ","
关爱心弗瑞尔专卖店
",该款月成交 72笔
21KE Qin 1s,"

￥399.00

 ","
晟功数码专营店
",该款月成交 129笔
DOOV/朵唯 F9,"

￥118.00

 ","
炜广天成数码专营店
",该款月成交 231笔
Coolpad/酷派 7722,"

￥179.00

 ","
李华氏数码专营店
",该款月成交 52笔
ivvi X(30),"

￥327.00

 ","
ivvi手机旗舰店
",该款月成交 122笔
UniscopE/优思 U W2014D,"

￥128.00

 ","
优机汇数码专营店
",该款月成交 321笔
创星（手机） X5,"

￥398.00

 ","
博科雅创数码专营店
",该款月成交 136笔
创星（手机） Z9,"

￥159.00

 ","
慕尚年华数码专营店
",该款月成交 3171笔
Philips/飞利浦 E525,"

￥299.00

 ","
飞利浦官方旗舰店
",该款月成交 515笔
21KE QF9,"

￥399.00

 ","
晟功数码专营店
",该款月成交 177笔
小辣椒 小辣椒Q11,"

￥239.00

 ","
小辣椒旗舰店
",该款月成交 33笔
纽曼 R11S,"

￥388.00

 ","
纽曼世腾专卖店
",该款月成交 76笔
BIRD/波导 A520,"

￥168.00

 ","
创佰亿数码专营店
",该款月成交 673笔
纽曼 P400,"

￥368.00

 ","
嘉宇金成数码专营店
",该款月成交 8010笔
小辣椒 红辣椒 X3,"

￥388.00

 ","
昭华数码专营店
",该款月成交 35笔
纽曼 S99,"

￥98.00

 ","
四知轩数码专营
",该款月成交 188笔
K-Touch/天语 Q7C,"

￥128.00

 ","
天语强宇专卖店
",该款月成交 115笔
纽曼 P10,"

￥488.00

 ","
优源数码专营店
",该款月成交 100笔
ZTE/中兴 BA510,"

￥228.00

 ","
启能数码专营店
",该款月成交 0笔
Huawei/华为 P40 Pro+,"

￥7988.00

 ","
华为官方旗舰店
",该款月成交 6217笔
Xiaomi/小米 Redmi K30 Pro,"

￥2999.00

 ","
小米官方旗舰店
",该款月成交 5.2万笔
honor/荣耀 荣耀30s,"

￥2399.00

 ","
荣耀官方旗舰店
",该款月成交 2.7万笔
Xiaomi/小米 小米10,"

￥3999.00

 ","
小米官方旗舰店
",该款月成交 3.0万笔
Huawei/华为 畅享 10e,"

￥999.00

 ","
华为官方旗舰店
",该款月成交 2.6万笔
honor/荣耀 荣耀X10,"

￥2399.00

 ","
荣耀官方旗舰店
",该款月成交 3.2万笔
vivo iQOO Neo3,"


￥3298.00

 ","
苏宁易购官方旗舰店
",该款月成交 1.2万笔
vivo iQOO Z1,"


￥2498.00

 ","
苏宁易购官方旗舰店
",该款月成交 7075笔
vivo S6,"

￥2498.00

 ","
vivo官方旗舰店
",该款月成交 3238笔
OPPO Reno4,"

￥3299.00

 ","
OPPO官方旗舰店
",该款月成交 1.5万笔
vivo iQOO 5 Pro,"

￥4998.00

 ","
vivo官方旗舰店
",该款月成交 191笔
OPPO Reno4 Pro,"

￥4299.00

 ","
OPPO官方旗舰店
",该款月成交 4565笔
Samsung/三星 Galaxy S20+ 5G SM-G9860 5G,"

￥9199.00

 ","
三星官方旗舰店
",该款月成交 236笔
Samsung/三星 Galaxy S20 SM-G9810 5G,"

￥6999.00

 ","
三星官方旗舰店
",该款月成交 144笔
Huawei/华为 畅享6,"

￥559.00

 ","
旭翼数码专营店
",该款月成交 140笔
Huawei/华为 mate 10 pro,"

￥2099.00

 ","
旭翼数码专营店
",该款月成交 47笔
创星（手机） N1X,"

￥498.00

 ","
东旭启信数码专营店
",该款月成交 123笔
创星（手机） S9,"

￥118.00

 ","
米凌数码专营店
",该款月成交 1134笔
纽曼 N99,"

￥89.00

 ","
纽曼手机旗舰店
",该款月成交 399笔
Gionee/金立 A880,"

￥268.00

 ","
鼎峰数码专营店
",该款月成交 776笔
纽曼 F6,"

￥139.00

 ","
东旭启信数码专营店
",该款月成交 1692笔
纽曼 L99,"

￥68.00

 ","
米凌数码专营店
",该款月成交 182笔
创星（手机） c1c,"

￥98.00

 ","
炜广天成数码专营店
",该款月成交 82笔
小辣椒 Q8,"

￥78.00

 ","
炜广天成数码专营店
",该款月成交 486笔
欧宝 1S+.,"

￥399.00

 ","
青椒数码专营店
",该款月成交 174笔
小辣椒 X9,"

￥569.00

 ","
小辣椒浩宇轩扬专卖店
",该款月成交 5858笔
纽曼 F9C,"

￥288.00

 ","
赫尔曼数码专营店
",该款月成交 270笔
索爱 索爱M6,"

￥429.00

 ","
点点云购数码专营店
",该款月成交 6笔
IVVI P60(i8),"

￥298.00

 ","
ivvi手机旗舰店
",该款月成交 111笔
小辣椒 红辣椒任性版,"

￥165.00

 ","
乐闻数码专营店
",该款月成交 38笔
创星（手机） P20,"

￥368.00

 ","
东旭日泰数码专营店
",该款月成交 139笔
创星（手机） ATMAN-X20,"

￥388.00

 ","
锦万数码专营
",该款月成交 0笔
Coolpad/酷派 Y803-9,"

￥199.00

 ","
倍多粉数码专营店
",该款月成交 0笔
DOOV/朵唯 X1,"

￥299.00

 ","
鼎峰数码专营店
",该款月成交 94笔
21KE M1S,"

￥399.00

 ","
淘贤居数码专营店
",该款月成交 83笔
K-Touch/天语 X13,"

￥389.00

 ","
博科雅创数码专营店
",该款月成交 373笔
纽曼 Q99,"

￥68.00

 ","
纽曼亿流专卖店
",该款月成交 47笔
21KE 21KE.F9,"

￥399.00

 ","
晟功数码专营店
",该款月成交 15笔
Coolpad/酷派 Y82-520,"

￥399.00

 ","
倍多粉数码专营店
",该款月成交 11笔
21KE QIN1S+,"

￥399.00

 ","
大和数码配件专营店
",该款月成交 93笔
纽曼 C9,"

￥188.00

 ","
赫尔曼数码专营店
",该款月成交 677笔
K-Touch/天语 S6,"

￥255.00

 ","
天语强宇专卖店
",该款月成交 399笔
K-Touch/天语 Q7,"

￥105.00

 ","
ktouch天语众鑫世纪专卖店
",该款月成交 255笔
创星（手机） R9C,"

￥198.00

 ","
翼天下天翼电信旗舰店
",该款月成交 26笔
UniscopE/优思 V9,"

￥78.00

 ","
阿兰贝尔数码专营店
",该款月成交 93笔
K-Touch/天语 N1,"

￥129.00

 ","
天语强宇专卖店
",该款月成交 223笔
DOOV/朵唯 W88,"

￥78.00

 ","
纯林伟业数码专营店
",该款月成交 187笔
Neken/尼凯恩 EN8 4G,"

￥189.00

 ","
尼凯恩旗舰店
",该款月成交 78笔
DOOV/朵唯 Z19,"

￥399.00

 ","
和瀛数码专营店
",该款月成交 185笔
创星（手机） S1,"

￥58.00

 ","
优机汇数码专营店
",该款月成交 1328笔
纽曼 A520+,"

￥78.00

 ","
纽曼亿流专卖店
",该款月成交 65笔
UniscopE/优思 US P20,"

￥439.00

 ","
万诚春数码专营店
",该款月成交 14笔
多亲 升级版多亲QIN2,"

￥599.00

 ","
鑫睿诚数码专营店
",该款月成交 32笔
纽曼 L8(S9),"

￥199.00

 ","
纽曼世腾专卖店
",该款月成交 1570笔
BIHEE A16全网通版,"

￥149.00

 ","
bihee旗舰店
",该款月成交 0笔
小辣椒 小辣椒 红辣椒GM-T11青春版,"

￥299.00

 ","
乐闻数码专营店
",该款月成交 0笔
创星（手机） 新款V6,"

￥99.00

 ","
阿兰贝尔数码专营店
",该款月成交 8笔
皓轩 P40智能手机,"

￥358.00

 ","
芝林数码专营店
",该款月成交 154笔
多亲 多亲（QIN）K201,"

￥379.00

 ","
三际数码官方旗舰店
",该款月成交 8笔
SAILF/硕王 SAILF Mate40,"

￥299.00

 ","
捷路通数码专营店
",该款月成交 6笔
皓轩 皓轩智能手机,"

￥398.00

 ","
皓轩誉信达专卖店
",该款月成交 269笔
多亲 多亲Qin 1s+瓷白色,"

￥449.00

 ","
鑫睿诚数码专营店
",该款月成交 89笔
皓轩（手机） H2,"

￥89.00

 ","
皓轩长立专卖店
",该款月成交 1062笔
SAILF/硕王 X27,"

￥458.00

 ","
硕王东鑫城专卖店
",该款月成交 11笔
多亲 QF9,"

￥299.00

 ","
飞可盈数码专营店
",该款月成交 7笔
硕王 SAILF-R20,"

￥348.00

 ","
硕王唯品时代专卖店
",该款月成交 12笔
皓轩 H23,"

￥49.00

 ","
皓轩赛罗敷专卖店
",该款月成交 38笔
Philips/飞利浦 E258S,"

￥378.00

 ","
和瀛数码专营店
",该款月成交 559笔
21KE C1,"

￥138.00

 ","
淘贤居数码专营店
",该款月成交 355笔
Neken/尼凯恩 EN9&9,"

￥119.00

 ","
尼凯恩龙御谷专卖店
",该款月成交 0笔
K-Touch/天语 T9,"

￥149.00

 ","
恒之源手机专营店
",该款月成交 179笔
Neken/尼凯恩 M9<6,"

￥169.00

 ","
尼凯恩龙御谷专卖店
",该款月成交 0笔
皓轩 H21,"

￥115.00

 ","
德隆兴盛数码专营店
",该款月成交 635笔
守护宝 K288,"

￥239.00

 ","
天讯蓝图数码专营店
",该款月成交 669笔
硕王 SAILF:R20,"

￥658.00

 ","
硕王东鑫城专卖店
",该款月成交 7笔
SAILF/硕王 硕王SAILF/R20,"

￥588.00

 ","
硕王唯品时代专卖店
",该款月成交 1笔
,"

￥4988.00

 ","
长沙联通官方旗舰店
",该款月成交 9笔
,"

￥38.00

 ","
俊兰数码专营店
",该款月成交 231笔
,"

￥75.00

 ","
公牛建烨专卖店
",该款月成交 26笔
,"

￥139.00

 ","
河边通讯旗舰店
",该款月成交 13笔
Huawei/华为 nova 7 SE 5G,"

￥2399.00

 ","
华为官方旗舰店
",该款月成交 8.1万笔
Xiaomi/小米 Redmi K30i 5G,"

￥1499.00

 ","
小米官方旗舰店
",该款月成交 4.1万笔
Xiaomi/小米 Redmi K30 5G,"

￥1599.00

 ","
小米官方旗舰店
",该款月成交 5.2万笔
Huawei/华为 nova 7 5G,"

￥2999.00

 ","
华为官方旗舰店
",该款月成交 5.6万笔
honor/荣耀 荣耀30 Pro,"

￥3999.00

 ","
荣耀官方旗舰店
",该款月成交 1.5万笔
honor/荣耀 X10 Max,"

￥2499.00

 ","
荣耀官方旗舰店
",该款月成交 6082笔
honor/荣耀 荣耀Play4T,"


￥1199.00

 ","
苏宁易购官方旗舰店
",该款月成交 2.9万笔
vivo Y70s,"

￥2198.00

 ","
vivo官方旗舰店
",该款月成交 4125笔
vivo Y3标准版,"

￥899.00

 ","
vivo官方旗舰店
",该款月成交 1474笔
OPPO ace2,"

￥3499.00

 ","
OPPO官方旗舰店
",该款月成交 4729笔
OPPO A92s,"

￥2199.00

 ","
OPPO官方旗舰店
",该款月成交 1.5万笔
vivo iQOO 5,"


￥4598.00

 ","
苏宁易购官方旗舰店
",该款月成交 1010笔
Samsung/三星 Galaxy S20 Ultra SM-G9880 5G,"

￥9999.00

 ","
三星官方旗舰店
",该款月成交 96笔
honor/荣耀 荣耀V10,"

￥1499.00

 ","
旭翼数码专营店
",该款月成交 14笔
Samsung/三星 Galaxy Note20 5G SM-N9810,"

￥7399.00

 ","
三星官方旗舰店
",该款月成交 95笔
Huawei/华为 P20,"

￥2299.00

 ","
旭翼数码专营店
",该款月成交 63笔
创星（手机） V6,"

￥99.00

 ","
东旭启信数码专营店
",该款月成交 165笔
纽曼 F1,"

￥75.00

 ","
米凌数码专营店
",该款月成交 704笔
纽曼 V998,"

￥298.00

 ","
炜广天成数码专营店
",该款月成交 41笔
DOOV/朵唯 N9,"

￥489.00

 ","
鼎峰数码专营店
",该款月成交 143笔
小辣椒 小辣椒 新 105,"

￥238.00

 ","
东旭启信数码专营店
",该款月成交 100笔
小辣椒 A8,"

￥99.00

 ","
炜广天成数码专营店
",该款月成交 383笔
Neken/尼凯恩 M9<7,"

￥169.00

 ","
尼凯恩龙御谷专卖店
",该款月成交 0笔
Neken/尼凯恩 M9<8,"

￥169.00

 ","
尼凯恩龙御谷专卖店
",该款月成交 0笔
SAILF/硕王 硕王 SAILF-R20,"

￥458.00

 ","
硕王唯品时代专卖店
",该款月成交 3笔
Newmine/纽曼 纽曼C5,"

￥128.00

 ","
鑫睿诚数码专营店
",该款月成交 26笔
,"

￥48.00

 ","
南瓜数码专营店
",该款月成交 45笔
,"

￥29.90

 ","
西匠旗舰店
",该款月成交 29笔
,"

￥22.80

 ","
西匠旗舰店
",该款月成交 15笔
,"

￥10.56

 ","
奎因旗舰店
",该款月成交 3笔
,"

￥9.50

 ","
巴苏姆旗舰店
",该款月成交 28笔
,"

￥638.00

 ","
虎牌旗舰店
",该款月成交 1.0万笔
,"

￥1649.00

 ","
信开数码专营店
",该款月成交 2260笔
Midea/美的 CXW-220-T33,"


￥1499.00

 ","
美的合美永顺专卖店
",该款月成交 3329笔
Midea/美的 MXV-ZLP90Q15,"


￥999.00

 ","
美的官方旗舰店
",该款月成交 2531笔
Joyoung/九阳 JYN-L6,"

￥699.00

 ","
九阳厨房电器旗舰店
",该款月成交 4280笔
,"


￥6069.00

 ","
极米科技旗舰店
",该款月成交 3149笔
,"

￥399.00

 ","
钉钉官方旗舰店
",该款月成交 3029笔
,"

￥1499.00

 ","
天猫精灵智能生活旗舰店
",该款月成交 1732笔
Littleswan/小天鹅 TB55V20,"


￥799.00

 ","
小天鹅官方旗舰店
",该款月成交 2198笔
Philips/飞利浦 HD9212,"


￥1199.00

 ","
飞利浦厨房电器旗舰店
",该款月成交 1437笔
Midea/美的 KFR-51LW/N8MJA3,"

￥4299.00

 ","
美的官方旗舰店
",该款月成交 9298笔
ECOVACS/科沃斯 DLX11系列,"

￥3199.00

 ","
科沃斯旗舰店
",该款月成交 1.5万笔
Hisense/海信 H55E3A,"


￥1899.00

 ","
海信电视官方旗舰店
",该款月成交 6163笔
,"

￥1599.00

 ","
天猫魔屏官方旗舰店
",该款月成交 1693笔
,"

￥1099.00

 ","
钉钉官方旗舰店
",该款月成交 425笔
,"

￥472.00

 ","
卡代数码专营店
",该款月成交 1265笔
Haier/海尔 EB100F959U1,"


￥1699.00

 ","
海尔官方旗舰店
",该款月成交 2541笔
,"

￥4998.00

 ","
步步高光锐盛业专卖店
",该款月成交 799笔
Haier/海尔 EG10012B939GU1,"


￥2999.00

 ","
海尔官方旗舰店
",该款月成交 3511笔
Joyoung/九阳 DJ13E-Q8,"

￥899.00

 ","
九阳厨房电器旗舰店
",该款月成交 4974笔
,"


￥3069.00

 ","
极米科技旗舰店
",该款月成交 937笔
ECOVACS/科沃斯 CEN540-MI,"


￥949.00

 ","
科沃斯速洁妙专卖店
",该款月成交 1528笔
Littleswan/小天鹅 TB75V20,"


￥899.00

 ","
小天鹅官方旗舰店
",该款月成交 1724笔
,"

￥1099.00

 ","
九阳合千润专卖店
",该款月成交 1678笔
Midea/美的 RX30,"

￥3999.00

 ","
midea美的君协专卖店
",该款月成交 843笔
Hisense/海信 H65E3A,"


￥2799.00

 ","
海信电视官方旗舰店
",该款月成交 2622笔
Skyworth/创维 55M2,"

￥1999.00

 ","
创维官方旗舰店
",该款月成交 6370笔
,"

￥2999.00

 ","
美的合美永顺专卖店
",该款月成交 661笔
,"

￥699.00

 ","
中敏旗舰店
",该款月成交 963笔
维融 JBYD-A18(B),"

￥599.00

 ","
维融旗舰店
",该款月成交 1107笔
,"


￥4599.00

 ","
jmgo坚果旗舰店
",该款月成交 657笔
,"


￥3058.00

 ","
jmgo坚果旗舰店
",该款月成交 1144笔
Epson/爱普生 CB-S05,"

￥2599.00

 ","
三汇伟业数码专营店
",该款月成交 218笔
,"

￥699.00

 ","
欧印旗舰店
",该款月成交 1403笔
Midea/美的 WQP8-W3802H,"

￥2799.00

 ","
美的永恒利信专卖店
",该款月成交 772笔
,"

￥2599.00

 ","
天猫魔屏官方旗舰店
",该款月成交 885笔
Robam/老板 CXW-200-26A7,"


￥2699.00

 ","
老板电器旗舰店
",该款月成交 1588笔
Deli/得力 JBYD 33316(B),"

￥599.00

 ","
艾斯卡尔数码专营店
",该款月成交 2426笔
Skyworth/创维 65M2,"

￥2999.00

 ","
创维官方旗舰店
",该款月成交 2595笔
Midea/美的 K1,"


￥3999.00

 ","
美的厨房电器旗舰店
",该款月成交 678笔
Joyoung/九阳 JYS-N21 JYS-N21,"

￥399.00

 ","
九阳笑脸益百专卖店
",该款月成交 2882笔
,"


￥2699.00

 ","
head海德健身旗舰店
",该款月成交 798笔
SIEMENS/西门子 SJ235B00JC,"


￥5999.00

 ","
西门子奥服专卖店
",该款月成交 408笔
Midea/美的 3905 Pro,"

￥5999.00

 ","
美的华云时代专卖店
",该款月成交 729笔
,"

￥759.00

 ","
顾晨旗舰店
",该款月成交 1150笔
,"

￥1149.00

 ","
太太乐家居旗舰店
",该款月成交 7175笔
ECOVACS/科沃斯 DF45,"


￥1999.00

 ","
科沃斯速洁妙专卖店
",该款月成交 451笔
,"

￥399.00

 ","
萤石官方旗舰店
",该款月成交 1531笔
,"

￥489.00

 ","
得力壹笔专卖店
",该款月成交 1699笔
